drdt,nut,M,N,r_het,rho,k,supersat,I,alphat,p,T,r_crit,epsilon,U:0,U:1,U:2,Points:0,Points:1,Points:2,Point ID,Block Number
-1.08451e-09,0.399358,1,6.60737e+06,0.00333565,0.590632,147.289,1.98696,7.36025e+06,0.235873,101148,373.325,1.0371e-09,4917.22,22.0924,-3.1523,-1.65829e-15,1.61973,0.451613,-0.5,1069,2
-1.07904e-09,0.413663,1,6.14134e+06,0.00341047,0.590703,149.234,1.98688,7.33677e+06,0.244351,101161,373.331,1.03714e-09,4870.13,22.6749,-3.45485,1.76548e-15,1.71082,0.451315,-0.5,1070,2
-1.07632e-09,0.425297,1,5.73302e+06,0.00348257,0.590776,150.333,1.9868,7.30831e+06,0.251255,101175,373.337,1.03719e-09,4803.95,23.2773,-3.72449,1.53717e-15,1.80191,0.451018,-0.5,1071,2
-1.07683e-09,0.435152,1,5.39715e+06,0.00354758,0.590851,150.804,1.9867,7.27797e+06,0.257109,101190,373.344,1.03725e-09,4721.76,23.9,-3.96029,-3.2552e-15,1.893,0.450721,-0.5,1072,2
-1.0807e-09,0.443439,1,5.14035e+06,0.00360171,0.590927,150.716,1.98662,7.2497e+06,0.262039,101204,373.35,1.0373e-09,4625.32,24.5415,-4.16686,-1.84831e-15,1.98409,0.450423,-0.5,1073,2
-1.08703e-09,0.449937,1,4.94716e+06,0.00364532,0.591004,150.044,1.98653,7.22572e+06,0.265914,101219,373.357,1.03734e-09,4515.78,25.1994,-4.34793,4.51155e-15,2.07518,0.450126,-0.5,1074,2
-1.09479e-09,0.455089,1,4.80137e+06,0.00368009,0.591079,148.89,1.98646,7.20738e+06,0.268993,101234,373.362,1.03737e-09,4394.53,25.8702,-4.5038,1.58496e-15,2.16627,0.449829,-0.5,1075,2
-1.10305e-09,0.458765,1,4.69595e+06,0.00370625,0.591154,147.262,1.98642,7.19841e+06,0.2712,101248,373.368,1.0374e-09,4263,26.5495,-4.63263,-1.5233e-15,2.25736,0.449532,-0.5,1076,2
-1.11114e-09,0.461076,1,4.621e+06,0.00372547,0.591227,145.204,1.98639,7.19911e+06,0.2726,101262,373.373,1.0374e-09,4122.58,27.232,-4.73276,-1.10904e-17,2.34845,0.449234,-0.5,1077,2
-1.11872e-09,0.462243,1,4.5695e+06,0.00373895,0.591298,142.775,1.98638,7.2088e+06,0.273323,101275,373.377,1.0374e-09,3974.68,27.9123,-4.80495,-2.69917e-15,2.43954,0.448937,-0.5,1078,2
-1.12524e-09,0.462292,1,4.54e+06,0.00374676,0.591366,140.007,1.9864,7.2301e+06,0.273383,101288,373.38,1.03737e-09,3820.74,28.5865,-4.8512,-1.35113e-15,2.53063,0.44864,-0.5,1079,2
