drdt,nut,M,N,r_het,rho,k,supersat,I,alphat,p,T,r_crit,epsilon,U:0,U:1,U:2,Points:0,Points:1,Points:2,Point ID,Block Number
-3.1516e-09,0.999241,1,2.40215e+06,0.00463203,0.589859,473.563,1.95464,804602,0.589412,101284,374.311,1.05967e-09,20241.6,39.4133,-7.51787,5.8295e-18,2.82986,0.376566,0.5,2082,2
-3.18322e-09,0.995473,1,2.41007e+06,0.00462696,0.590025,464.312,1.95455,802850,0.587354,101316,374.322,1.05971e-09,19531.1,40.8129,-7.49369,3.62353e-16,2.92063,0.376275,0.5,2083,2
-3.21023e-09,0.991138,1,2.41895e+06,0.00462131,0.590178,454.501,1.95449,803253,0.584948,101344,374.332,1.05973e-09,18795.3,42.1686,-7.4247,1.40067e-17,3.01139,0.375984,0.5,2084,2
-3.2322e-09,0.986262,1,2.42878e+06,0.00461508,0.590317,444.302,1.95449,806111,0.582207,101370,374.34,1.05971e-09,18048.8,43.4754,-7.31607,-6.82961e-16,3.10215,0.375692,0.5,2085,2
-3.24875e-09,0.980966,1,2.43959e+06,0.00460829,0.590441,433.879,1.95454,811747,0.579202,101392,374.345,1.05965e-09,17303.1,44.7301,-7.17276,-1.23188e-17,3.19291,0.375401,0.5,2086,2
-3.25915e-09,0.975618,1,2.45127e+06,0.00460098,0.590554,423.374,1.95466,820838,0.576153,101412,374.347,1.05955e-09,16563.9,45.9313,-7.00131,-3.30776e-16,3.28367,0.37511,0.5,2087,2
-3.26477e-09,0.970398,1,2.46371e+06,0.00459326,0.590654,412.909,1.95482,832340,0.573168,101430,374.348,1.05943e-09,15838.3,47.0786,-6.80784,-2.97638e-18,3.37443,0.374818,0.5,2088,2
-3.2672e-09,0.965383,1,2.47679e+06,0.00458519,0.590741,402.571,1.955,845109,0.57029,101445,374.346,1.05928e-09,15131.8,48.1727,-6.59839,9.52237e-16,3.46519,0.374527,0.5,2089,2
-3.26515e-09,0.96062,1,2.49047e+06,0.00457682,0.590817,392.431,1.95522,860377,0.56755,101457,374.343,1.05911e-09,14449.2,49.2156,-6.3786,-3.12514e-16,3.55595,0.374236,0.5,2090,2
-3.25834e-09,0.956147,1,2.50463e+06,0.00456821,0.590883,382.54,1.95549,878584,0.56497,101467,374.338,1.0589e-09,13793.2,50.209,-6.15279,-6.20626e-16,3.64672,0.373945,0.5,2091,2
