,Ambient Pressure [Pa],dT [K],$r$ [m],Time_r [s]
0,358442.85714285716,1.7959183673469388,1.0002022480337202e-06,6.000000000000001e-09
0,358442.85714285716,2.5918367346938775,1.0002917550698745e-06,5e-09
0,358442.85714285716,3.387755102040816,1.00038119416054e-06,6.000000000000001e-09
0,358442.85714285716,4.183673469387755,1.000470563780434e-06,7.000000000000001e-09
0,358442.85714285716,4.979591836734694,1.0005598726461234e-06,4e-09
0,358442.85714285716,5.775510204081632,1.0006491165402908e-06,8e-09
0,358442.85714285716,6.571428571428571,1.0007382964471809e-06,8e-09
0,358442.85714285716,7.36734693877551,1.0008274183851126e-06,5e-09
0,358442.85714285716,8.16326530612245,1.000916478596607e-06,8e-09
0,358442.85714285716,8.959183673469388,1.0010054766201888e-06,9.000000000000001e-09
0,358442.85714285716,9.755102040816327,1.0010944180030194e-06,8e-09
0,358442.85714285716,10.551020408163264,1.0011833014502742e-06,9.000000000000001e-09
0,358442.85714285716,11.346938775510203,1.001272124039933e-06,1e-08
0,358442.85714285716,12.142857142857142,1.0013608896000997e-06,1e-08
0,358442.85714285716,12.938775510204081,1.001449600525263e-06,7.000000000000001e-09
0,358442.85714285716,13.73469387755102,1.0015382540531434e-06,1e-08
0,358442.85714285716,14.53061224489796,1.0016268494871642e-06,1.1000000000000001e-08
0,358442.85714285716,15.326530612244898,1.0017153904981911e-06,1.1000000000000001e-08
0,358442.85714285716,16.122448979591837,1.0018038785651435e-06,8e-09
0,358442.85714285716,16.918367346938776,1.0018923114506614e-06,1.1000000000000001e-08
0,358442.85714285716,17.714285714285715,1.001980688504967e-06,1.2000000000000002e-08
0,358442.85714285716,18.510204081632654,1.002069012586392e-06,1.2000000000000002e-08
0,358442.85714285716,19.306122448979593,1.0021572855075882e-06,1.1000000000000001e-08
0,358442.85714285716,20.10204081632653,1.0022455064067575e-06,1.1000000000000001e-08
0,358442.85714285716,20.897959183673468,1.0023336738813331e-06,1.3e-08
0,358442.85714285716,21.693877551020407,1.002421788952083e-06,1.3e-08
0,358442.85714285716,22.489795918367346,1.0025098540507922e-06,1.3e-08
0,358442.85714285716,23.285714285714285,1.0025978703533225e-06,1.2000000000000002e-08
0,358442.85714285716,24.081632653061224,1.0026858367156347e-06,1.2000000000000002e-08
0,358442.85714285716,24.877551020408163,1.0027737524170056e-06,1.3e-08
0,358442.85714285716,25.6734693877551,1.0028616182691882e-06,1.4000000000000001e-08
0,358442.85714285716,26.46938775510204,1.0029494361901072e-06,1.4000000000000001e-08
0,358442.85714285716,27.26530612244898,1.0030372075375738e-06,1.3e-08
0,358442.85714285716,28.06122448979592,1.0031249319992715e-06,1.1000000000000001e-08
0,358442.85714285716,28.857142857142858,1.0032126088249616e-06,1.4000000000000001e-08
0,358442.85714285716,29.653061224489797,1.0033002380434022e-06,1.5000000000000002e-08
0,358442.85714285716,30.448979591836736,1.003387820793223e-06,1.5000000000000002e-08
0,358442.85714285716,31.244897959183675,1.0034753585998058e-06,1.5000000000000002e-08
0,358442.85714285716,32.04081632653062,1.0035628524198397e-06,1.4000000000000001e-08
0,358442.85714285716,32.83673469387755,1.003650302015134e-06,1.2000000000000002e-08
0,358442.85714285716,33.63265306122449,1.0037377069072951e-06,1.5000000000000002e-08
0,358442.85714285716,34.42857142857143,1.0038250671161445e-06,1.6e-08
0,358442.85714285716,35.224489795918366,1.0039123834235025e-06,1.6e-08
0,358442.85714285716,36.02040816326531,1.0039996570664944e-06,1.6e-08
0,358442.85714285716,36.816326530612244,1.0040868891361216e-06,1.6e-08
0,358442.85714285716,37.61224489795919,1.0041740798269487e-06,1.5000000000000002e-08
0,358442.85714285716,38.40816326530612,1.0042612289247463e-06,1.3e-08
0,358442.85714285716,39.20408163265306,1.0043483362342335e-06,1.6e-08
0,358442.85714285716,40.0,1.004435401953444e-06,1.7e-08
0,364565.306122449,1.0,1.000112667048483e-06,3.0000000000000004e-09
0,364565.306122449,1.7959183673469388,1.0002022448917743e-06,7.000000000000001e-09
0,364565.306122449,2.5918367346938775,1.0002917498884283e-06,6.000000000000001e-09
0,364565.306122449,3.387755102040816,1.0003811882962743e-06,6.000000000000001e-09
0,364565.306122449,4.183673469387755,1.0004705555704818e-06,8e-09
0,364565.306122449,4.979591836734694,1.0005598626736833e-06,6.000000000000001e-09
0,364565.306122449,5.775510204081632,1.0006491058317482e-06,8e-09
0,364565.306122449,6.571428571428571,1.0007382831951224e-06,9.000000000000001e-09
0,364565.306122449,7.36734693877551,1.0008274030211921e-06,7.000000000000001e-09
0,364565.306122449,8.16326530612245,1.0009164626162699e-06,8e-09
0,364565.306122449,8.959183673469388,1.0010054584528936e-06,1e-08
0,364565.306122449,9.755102040816327,1.0010943969432214e-06,9.000000000000001e-09
0,364565.306122449,10.551020408163264,1.0011832793972685e-06,7.000000000000001e-09
0,364565.306122449,11.346938775510203,1.0012721008509656e-06,1e-08
0,364565.306122449,12.142857142857142,1.0013608633032652e-06,1.1000000000000001e-08
0,364565.306122449,12.938775510204081,1.0014495716956175e-06,9.000000000000001e-09
0,364565.306122449,13.73469387755102,1.001538224482278e-06,9.000000000000001e-09
0,364565.306122449,14.53061224489796,1.0016268183780737e-06,1.1000000000000001e-08
0,364565.306122449,15.326530612244898,1.0017153560237136e-06,1.2000000000000002e-08
0,364565.306122449,16.122448979591837,1.0018038413403863e-06,1.1000000000000001e-08
0,364565.306122449,16.918367346938776,1.001892273269068e-06,9.000000000000001e-09
0,364565.306122449,17.714285714285715,1.0019806491763096e-06,1.2000000000000002e-08
0,364565.306122449,18.510204081632654,1.0020689699918744e-06,1.3e-08
0,364565.306122449,19.306122448979593,1.002157239402374e-06,1.2000000000000002e-08
0,364565.306122449,20.10204081632653,1.0022454583914864e-06,1e-08
0,364565.306122449,20.897959183673468,1.0023336249812166e-06,1.2000000000000002e-08
0,364565.306122449,21.693877551020407,1.0024217380950274e-06,1.3e-08
0,364565.306122449,22.489795918367346,1.002509799739498e-06,1.4000000000000001e-08
0,364565.306122449,23.285714285714285,1.002597812335736e-06,1.3e-08
0,364565.306122449,24.081632653061224,1.0026857766199697e-06,1.2000000000000002e-08
0,364565.306122449,24.877551020408163,1.0027736912540177e-06,1.2000000000000002e-08
0,364565.306122449,25.6734693877551,1.0028615553295968e-06,1.4000000000000001e-08
0,364565.306122449,26.46938775510204,1.0029493700062635e-06,1.5000000000000002e-08
0,364565.306122449,27.26530612244898,1.0030371373400466e-06,1.5000000000000002e-08
0,364565.306122449,28.06122448979592,1.0031248586944763e-06,1.4000000000000001e-08
0,364565.306122449,28.857142857142858,1.0032125338353867e-06,1.1000000000000001e-08
0,364565.306122449,29.653061224489797,1.0033001617743787e-06,1.4000000000000001e-08
0,364565.306122449,30.448979591836736,1.0033877422945906e-06,1.5000000000000002e-08
0,364565.306122449,31.244897959183675,1.0034752766085996e-06,1.6e-08
0,364565.306122449,32.04081632653062,1.0035627663120339e-06,1.6e-08
0,364565.306122449,32.83673469387755,1.003650212545266e-06,1.5000000000000002e-08
0,364565.306122449,33.63265306122449,1.0037376153759316e-06,1.3e-08
0,364565.306122449,34.42857142857143,1.003824974171071e-06,1.3e-08
0,364565.306122449,35.224489795918366,1.0039122885743954e-06,1.5000000000000002e-08
0,364565.306122449,36.02040816326531,1.003999559117052e-06,1.6e-08
0,364565.306122449,36.816326530612244,1.0040867871496126e-06,1.7e-08
0,364565.306122449,37.61224489795919,1.00417397383801e-06,1.6e-08
0,364565.306122449,38.40816326530612,1.0042611198562097e-06,1.6e-08
0,364565.306122449,39.20408163265306,1.0043482251670266e-06,1.3e-08
0,364565.306122449,40.0,1.0044352893377568e-06,1.5000000000000002e-08
0,370687.7551020408,1.0,1.0001126649616758e-06,4e-09
0,370687.7551020408,1.7959183673469388,1.0002022417098178e-06,7.000000000000001e-09
0,370687.7551020408,2.5918367346938775,1.0002917443771663e-06,6.000000000000001e-09
0,370687.7551020408,3.387755102040816,1.0003811823420178e-06,6.000000000000001e-09
0,370687.7551020408,4.183673469387755,1.0004705473184247e-06,8e-09
0,370687.7551020408,4.979591836734694,1.0005598522540979e-06,7.000000000000001e-09
0,370687.7551020408,5.775510204081632,1.0006490950176294e-06,7.000000000000001e-09
0,370687.7551020408,6.571428571428571,1.0007382700396718e-06,9.000000000000001e-09
0,370687.7551020408,7.36734693877551,1.0008273871545377e-06,8e-09
0,370687.7551020408,8.16326530612245,1.0009164462812996e-06,7.000000000000001e-09
0,370687.7551020408,8.959183673469388,1.001005440564284e-06,1e-08
0,370687.7551020408,9.755102040816327,1.0010943756627534e-06,1e-08
0,370687.7551020408,10.551020408163264,1.0011832565728629e-06,7.000000000000001e-09
0,370687.7551020408,11.346938775510203,1.0012720777195321e-06,1e-08
0,370687.7551020408,12.142857142857142,1.0013608374259483e-06,1.1000000000000001e-08
